Destination IP Address	Total Flows
74.125.24.84	28
142.250.194.74	46
44.213.83.201	16
51.116.253.168	52
20.42.73.27	32
52.98.57.130	22
13.107.42.16	12
185.125.190.57	2
10.240.2.36	7
185.125.190.58	2
91.189.91.157	5
100.25.225.34	28
10.7.24.162	3
10.240.15.238	1
20.189.173.1	33
142.250.76.202	23
142.250.192.106	63
49.44.120.242	6
142.250.192.35	14
54.201.40.58	62
23.213.43.220	31
18.66.57.115	15
23.54.155.179	24
142.250.193.195	156
52.10.219.207	14
54.192.142.123	14
10.240.10.136	286
142.250.183.33	98
20.190.146.39	30
52.44.80.144	21
52.168.117.171	16
142.250.207.234	46
20.50.73.13	32
54.81.67.106	24
91.189.91.97	6
185.125.190.56	2
34.149.100.209	28
34.160.144.191	17
10.240.16.0	1
142.250.192.133	34
35.164.245.144	13
142.250.192.110	24
69.147.80.15	133
13.228.199.132	13
106.10.248.157	21
142.250.192.66	30
54.230.112.45	24
108.159.61.34	18
106.10.218.155	55
69.147.80.12	333
180.222.114.11	29
151.101.65.44	11
13.250.224.20	11
142.250.193.2	110
142.250.199.130	89
57.181.110.245	12
180.222.114.12	13
95.173.218.112	9
104.18.23.145	20
108.159.61.86	11
52.123.168.132	28
34.95.69.49	19
106.10.236.40	16
199.232.45.44	24
27.123.42.204	69
13.251.195.28	22
142.250.183.131	81
54.254.2.214	4
142.251.220.195	29
142.251.42.98	35
142.250.192.65	27
52.123.130.14	16
185.184.8.90	8
142.250.192.225	13
142.250.71.97	62
142.250.194.130	16
72.34.249.211	91
151.101.129.44	10
52.223.40.198	12
35.213.7.90	25
23.108.103.8	9
34.36.216.150	22
34.111.113.62	23
104.18.43.206	10
74.214.196.131	12
64.233.170.100	17
52.74.154.75	10
13.107.6.156	48
23.36.253.221	62
23.52.40.154	4752
23.64.1.225	12
13.107.246.48	90
20.190.146.32	13
20.190.145.143	9
104.18.26.193	11
139.99.123.206	11
20.52.64.201	76
103.43.90.178	44
51.79.154.29	11
13.213.228.126	11
216.200.232.253	8
50.116.239.135	16
104.17.198.65	11
146.75.46.49	10
159.223.106.31	29
23.32.176.28	13
98.82.156.207	23
27.123.42.205	13
13.213.94.102	12
54.158.61.171	13
207.65.33.79	14
23.222.108.30	10
131.153.206.103	12
52.32.18.145	21
54.200.146.72	28
35.208.249.213	13
79.127.230.245	9
34.98.64.218	20
18.164.217.16	12
69.173.151.100	10
35.71.131.137	19
49.44.145.40	23
